Country,Age,YearsCode,EdLevel,WorkExp,Currency,CompTotal,ConvertedCompYearly,Rate,gini_index,Human Development Index (HDI) ,Expected years of schooling,Mean years of schooling,HDI rank
Israel,39,19,5,18.0,ILS,540000.0,145715.0,3.8,38.6,0.915,15.0,13.4,26.0
United States,49,26,5,25.0,USD,115000.0,115000.0,1.0,41.5,0.927,16.4,13.6,21.0
Argentina,39,21,5,14.0,USD,144000.0,144000.0,1.0,42.3,0.849,19.0,11.1,47.0
Spain,29,16,5,6.0,EUR,70000.0,75184.0,0.93,34.3,0.911,17.8,10.6,28.0
Portugal,29,14,6,7.0,EUR,80000.0,85925.0,0.93,32.8,0.874,16.8,9.6,39.0
United States,29,16,6,6.0,USD,80000.0,80000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,39,20,5,16.0,GBP,70000.0,89172.0,0.81,35.1,0.94,17.6,13.4,17.0
United Kingdom,39,27,3,19.0,GBP,80000.0,101910.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,29,21,3,13.0,USD,150000.0,150000.0,1.0,41.5,0.927,16.4,13.6,21.0
Austria,29,8,0,3.0,EUR,45000.0,48333.0,0.93,30.2,0.926,16.4,12.3,22.0
Norway,29,15,5,11.0,NOK,1200000.0,112309.0,10.7,27.7,0.966,18.6,13.1,2.0
Canada,65,47,5,46.0,USD,40000.0,40000.0,1.0,33.3,0.935,16.0,13.9,16.0
United States,29,19,5,9.0,USD,170000.0,170000.0,1.0,41.5,0.927,16.4,13.6,21.0
Austria,39,15,5,10.0,EUR,65000.0,69814.0,0.93,30.2,0.926,16.4,12.3,22.0
Sweden,29,6,6,3.0,SEK,477000.0,45498.0,11.0,29.3,0.952,19.0,12.7,5.0
United Kingdom,49,36,7,25.0,GBP,61300.0,78089.0,0.81,35.1,0.94,17.6,13.4,17.0
India,29,6,6,4.0,INR,750000.0,8973.0,83.0,35.7,0.644,12.6,6.6,135.0
Norway,39,16,6,12.0,NOK,1500000.0,140387.0,10.7,27.7,0.966,18.6,13.1,2.0
Belgium,29,18,5,8.0,EUR,70000.0,75184.0,0.93,27.2,0.942,18.9,12.5,13.0
Brazil,39,23,3,23.0,BRL,900000.0,167838.0,5.01,48.9,0.76,15.6,8.3,84.0
Switzerland,39,21,7,20.0,CHF,110000.0,122559.0,0.9,33.1,0.967,16.6,13.9,1.0
Argentina,39,24,3,23.0,USD,137000.0,137000.0,1.0,42.3,0.849,19.0,11.1,47.0
Brazil,21,9,3,5.0,BRL,44820.0,8358.0,5.01,48.9,0.76,15.6,8.3,84.0
Spain,29,12,5,9.0,EUR,54000.0,57999.0,0.93,34.3,0.911,17.8,10.6,28.0
United Kingdom,29,5,6,2.0,GBP,40000.0,50955.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,39,19,5,13.0,USD,150000.0,150000.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,29,11,5,5.0,EUR,50000.0,53703.0,0.93,31.7,0.95,17.3,14.3,7.0
France,39,17,6,17.0,EUR,88000.0,94517.0,0.93,32.4,0.91,16.0,11.7,27.0
Sweden,49,43,3,27.0,SEK,1000000.0,95384.0,11.0,29.3,0.952,19.0,12.7,5.0
United States,29,10,5,5.0,USD,150000.0,150000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,29,6,5,10.0,GBP,70000.0,89172.0,0.81,35.1,0.94,17.6,13.4,17.0
Spain,29,13,6,7.0,EUR,40000.0,42962.0,0.93,34.3,0.911,17.8,10.6,28.0
India,29,14,6,4.0,INR,420000.0,5025.0,83.0,35.7,0.644,12.6,6.6,135.0
Switzerland,21,8,3,3.0,CHF,85000.0,94704.0,0.9,33.1,0.967,16.6,13.9,1.0
Ireland,39,19,3,17.0,EUR,60000.0,64444.0,0.93,30.6,0.95,19.1,11.7,9.0
United Kingdom,59,29,6,41.0,GBP,50000.0,63694.0,0.81,35.1,0.94,17.6,13.4,17.0
Netherlands,29,8,6,7.0,EUR,85000.0,91295.0,0.93,29.2,0.946,18.6,12.6,11.0
United States,29,13,5,11.0,USD,200000.0,200000.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,29,11,3,8.0,EUR,90000.0,96666.0,0.93,31.7,0.95,17.3,14.3,7.0
Ukraine,29,17,6,13.0,UAH,1750000.0,43197.0,36.8,25.6,0.734,13.3,11.1,86.0
Estonia,39,26,5,15.0,EUR,56000.0,60147.0,0.93,30.8,0.899,15.9,13.5,32.0
Bosnia and Herzegovina,29,16,5,11.0,BAM,7680.0,4212.0,1.82,33.0,0.779,13.3,10.5,77.0
United States,39,37,4,23.0,USD,90000.0,90000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,49,26,6,25.0,GBP,45000.0,57325.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,29,8,5,4.0,USD,87000.0,87000.0,1.0,41.5,0.927,16.4,13.6,21.0
Italy,39,28,6,25.0,EUR,60000.0,64444.0,0.93,35.2,0.906,16.7,10.7,30.0
Ireland,39,18,3,17.0,EUR,110000.0,118147.0,0.93,30.6,0.95,19.1,11.7,9.0
United States,39,15,3,25.0,USD,160000.0,160000.0,1.0,41.5,0.927,16.4,13.6,21.0
Italy,39,11,5,8.0,EUR,105000.0,112777.0,0.93,35.2,0.906,16.7,10.7,30.0
United Kingdom,21,4,6,1.0,GBP,40000.0,50955.0,0.81,35.1,0.94,17.6,13.4,17.0
Denmark,29,16,0,10.0,DKK,540000.0,77761.0,6.92,27.7,0.952,18.8,13.0,8.0
United States,29,12,4,11.0,USD,120000.0,120000.0,1.0,41.5,0.927,16.4,13.6,21.0
France,29,15,6,8.0,EUR,100000.0,107406.0,0.93,32.4,0.91,16.0,11.7,27.0
Switzerland,29,10,6,2.0,CHF,110000.0,122559.0,0.9,33.1,0.967,16.6,13.9,1.0
Romania,29,7,5,4.0,RON,100800.0,21750.0,4.6,34.8,0.827,14.5,11.4,52.0
Germany,29,17,7,7.0,EUR,78468.0,84279.0,0.93,31.7,0.95,17.3,14.3,7.0
Russian Federation,39,16,3,9.0,RUB,3600000.0,40336.0,96.5,36.0,0.821,15.7,12.4,55.0
Spain,39,20,6,12.0,EUR,35000.0,37592.0,0.93,34.3,0.911,17.8,10.6,28.0
France,49,29,5,26.0,EUR,96000.0,103110.0,0.93,32.4,0.91,16.0,11.7,27.0
Brazil,29,13,3,7.0,BRL,85700.0,15982.0,5.01,48.9,0.76,15.6,8.3,84.0
United States,21,11,2,1.0,USD,59675.0,59675.0,1.0,41.5,0.927,16.4,13.6,21.0
Switzerland,29,21,6,15.0,CHF,125000.0,139271.0,0.9,33.1,0.967,16.6,13.9,1.0
Israel,49,41,4,30.0,ILS,384000.0,103619.0,3.8,38.6,0.915,15.0,13.4,26.0
Norway,49,31,3,24.0,NOK,1300000.0,121668.0,10.7,27.7,0.966,18.6,13.1,2.0
Netherlands,39,16,6,15.0,EUR,90000.0,96666.0,0.93,29.2,0.946,18.6,12.6,11.0
Poland,29,16,2,9.0,PLN,790000.0,195497.0,4.3,30.2,0.881,15.9,13.2,35.0
Germany,21,7,5,2.0,EUR,53000.0,56925.0,0.93,31.7,0.95,17.3,14.3,7.0
Poland,39,19,6,18.0,PLN,420000.0,103935.0,4.3,30.2,0.881,15.9,13.2,35.0
Portugal,29,16,6,10.0,EUR,80000.0,85925.0,0.93,32.8,0.874,16.8,9.6,39.0
Netherlands,49,41,5,29.0,EUR,95000.0,102036.0,0.93,29.2,0.946,18.6,12.6,11.0
United Kingdom,49,39,3,25.0,GBP,35000.0,44586.0,0.81,35.1,0.94,17.6,13.4,17.0
Spain,49,27,5,26.0,EUR,40000.0,42962.0,0.93,34.3,0.911,17.8,10.6,28.0
Switzerland,39,20,6,25.0,CHF,120000.0,133700.0,0.9,33.1,0.967,16.6,13.9,1.0
Germany,39,11,5,11.0,EUR,75000.0,80555.0,0.93,31.7,0.95,17.3,14.3,7.0
Netherlands,29,11,5,6.0,EUR,61224.0,65758.0,0.93,29.2,0.946,18.6,12.6,11.0
United Kingdom,39,14,3,11.0,GBP,57500.0,73248.0,0.81,35.1,0.94,17.6,13.4,17.0
United Kingdom,29,13,5,8.0,GBP,70000.0,89172.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,29,15,5,4.0,USD,110000.0,110000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,21,7,3,0.0,GBP,28000.0,35669.0,0.81,35.1,0.94,17.6,13.4,17.0
Portugal,29,15,6,6.0,EUR,43000.0,46185.0,0.93,32.8,0.874,16.8,9.6,39.0
Germany,29,16,6,13.0,EUR,90000.0,96666.0,0.93,31.7,0.95,17.3,14.3,7.0
Australia,39,18,5,15.0,AUD,180000.0,118919.0,1.55,34.3,0.946,21.1,12.7,5.0
Canada,49,22,1,21.0,CAD,150000.0,109039.0,1.36,33.3,0.935,16.0,13.9,16.0
France,39,26,6,20.0,EUR,100000.0,107406.0,0.93,32.4,0.91,16.0,11.7,27.0
Germany,39,31,6,24.0,EUR,80000.0,85925.0,0.93,31.7,0.95,17.3,14.3,7.0
Portugal,39,20,6,11.0,EUR,25000.0,26852.0,0.93,32.8,0.874,16.8,9.6,39.0
Ukraine,21,7,5,6.0,UAH,2000000.0,49368.0,36.8,25.6,0.734,13.3,11.1,86.0
Sweden,39,18,6,12.0,SEK,804000.0,76689.0,11.0,29.3,0.952,19.0,12.7,5.0
Denmark,29,15,5,7.0,DKK,639124.0,92035.0,6.92,27.7,0.952,18.8,13.0,8.0
United States,49,29,5,24.0,USD,10000.0,10000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,13,5,8.0,USD,185000.0,185000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,26,5,20.0,USD,200000.0,200000.0,1.0,41.5,0.927,16.4,13.6,21.0
Switzerland,39,24,5,15.0,CHF,130000.0,144842.0,0.9,33.1,0.967,16.6,13.9,1.0
United Kingdom,29,14,6,9.0,GBP,75000.0,95541.0,0.81,35.1,0.94,17.6,13.4,17.0
Guatemala,49,34,3,23.0,GTQ,210000.0,26993.0,7.85,48.3,0.629,10.8,5.7,136.0
Rwanda,29,9,5,6.0,RWF,30000000.0,22693.0,1180.0,43.7,0.548,11.4,4.9,163.0
United Kingdom,29,11,6,8.0,GBP,77000.0,98089.0,0.81,35.1,0.94,17.6,13.4,17.0
Sweden,59,37,4,36.0,SEK,800000.0,76307.0,11.0,29.3,0.952,19.0,12.7,5.0
United States,39,21,4,17.0,USD,130000.0,130000.0,1.0,41.5,0.927,16.4,13.6,21.0
Canada,39,29,3,25.0,CAD,60000.0,43616.0,1.36,33.3,0.935,16.0,13.9,16.0
United States,49,31,3,33.0,USD,122000.0,122000.0,1.0,41.5,0.927,16.4,13.6,21.0
Italy,29,15,3,9.0,EUR,28000.0,30074.0,0.93,35.2,0.906,16.7,10.7,30.0
France,39,17,6,13.0,EUR,82000.0,88073.0,0.93,32.4,0.91,16.0,11.7,27.0
Austria,29,14,5,7.0,EUR,33700.0,36196.0,0.93,30.2,0.926,16.4,12.3,22.0
United States,39,25,3,14.0,USD,156000.0,156000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,59,31,5,30.0,USD,125000.0,125000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,19,3,10.0,USD,112000.0,112000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,49,26,5,21.0,USD,151000.0,151000.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,49,42,5,26.0,EUR,180000.0,193331.0,0.93,31.7,0.95,17.3,14.3,7.0
Switzerland,39,22,6,13.0,CHF,155000.0,172696.0,0.9,33.1,0.967,16.6,13.9,1.0
Canada,29,13,5,8.0,CAD,160000.0,116309.0,1.36,33.3,0.935,16.0,13.9,16.0
India,29,13,5,8.0,INR,2500000.0,29909.0,83.0,35.7,0.644,12.6,6.6,135.0
Finland,29,5,5,1.0,EUR,30000.0,32222.0,0.93,27.7,0.942,19.2,12.9,11.0
United States,59,25,5,30.0,USD,11000.0,11000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,49,46,3,36.0,USD,110000.0,110000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,16,5,15.0,USD,162000.0,162000.0,1.0,41.5,0.927,16.4,13.6,21.0
Brazil,39,21,6,15.0,BRL,500000.0,93244.0,5.01,48.9,0.76,15.6,8.3,84.0
Brazil,39,16,6,15.0,BRL,300000.0,55946.0,5.01,48.9,0.76,15.6,8.3,84.0
Poland,29,11,6,8.0,PLN,180000.0,44544.0,4.3,30.2,0.881,15.9,13.2,35.0
United States,39,10,6,8.0,USD,119000.0,119000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,16,5,27.0,USD,130000.0,130000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,28,6,24.0,USD,130000.0,130000.0,1.0,41.5,0.927,16.4,13.6,21.0
France,29,12,6,7.0,EUR,160000.0,171850.0,0.93,32.4,0.91,16.0,11.7,27.0
Germany,29,12,6,7.0,EUR,68000.0,73036.0,0.93,31.7,0.95,17.3,14.3,7.0
United States,21,6,5,3.0,USD,130000.0,130000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,29,16,5,11.0,GBP,64000.0,81528.0,0.81,35.1,0.94,17.6,13.4,17.0
Germany,29,14,5,5.0,EUR,100000.0,107406.0,0.93,31.7,0.95,17.3,14.3,7.0
Canada,29,20,6,12.0,CAD,140400.0,102061.0,1.36,33.3,0.935,16.0,13.9,16.0
United Kingdom,59,41,6,40.0,GBP,71000.0,90445.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,49,41,7,20.0,USD,130000.0,130000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,29,19,6,13.0,GBP,75000.0,95541.0,0.81,35.1,0.94,17.6,13.4,17.0
Portugal,49,33,0,27.0,EUR,26000.0,27926.0,0.93,32.8,0.874,16.8,9.6,39.0
India,29,10,6,7.0,INR,5600000.0,66995.0,83.0,35.7,0.644,12.6,6.6,135.0
United Kingdom,39,21,5,14.0,GBP,99900.0,127260.0,0.81,35.1,0.94,17.6,13.4,17.0
Mexico,49,35,5,26.0,MXN,766391.0,41315.0,17.1,45.4,0.781,14.5,9.2,83.0
France,39,20,6,11.0,EUR,40000.0,42962.0,0.93,32.4,0.91,16.0,11.7,27.0
United States,29,11,6,6.0,USD,210000.0,210000.0,1.0,41.5,0.927,16.4,13.6,21.0
Canada,39,13,5,9.0,CAD,195000.0,141751.0,1.36,33.3,0.935,16.0,13.9,16.0
United States,39,35,5,24.0,USD,215000.0,215000.0,1.0,41.5,0.927,16.4,13.6,21.0
Netherlands,29,13,6,6.0,EUR,87480.0,93959.0,0.93,29.2,0.946,18.6,12.6,11.0
Mexico,29,14,6,10.0,MXN,600000.0,32345.0,17.1,45.4,0.781,14.5,9.2,83.0
Thailand,29,9,6,4.0,THB,150000.0,4087.0,35.5,35.0,0.803,15.6,8.8,69.0
United States,29,8,5,4.0,USD,100600.0,100600.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,39,23,2,22.0,EUR,130000.0,139628.0,0.93,31.7,0.95,17.3,14.3,7.0
Ukraine,29,18,6,12.0,USD,90000.0,90000.0,1.0,25.6,0.734,13.3,11.1,86.0
France,29,8,6,7.0,EUR,22100.0,23737.0,0.93,32.4,0.91,16.0,11.7,27.0
United States,29,7,6,5.0,USD,121000.0,121000.0,1.0,41.5,0.927,16.4,13.6,21.0
France,29,15,6,9.0,EUR,68000.0,73036.0,0.93,32.4,0.91,16.0,11.7,27.0
United States,29,11,5,8.0,USD,176000.0,176000.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,29,16,6,15.0,EUR,60000.0,64444.0,0.93,31.7,0.95,17.3,14.3,7.0
Romania,29,17,5,12.0,RON,384000.0,82857.0,4.6,34.8,0.827,14.5,11.4,52.0
Ukraine,29,14,6,11.0,USD,84000.0,84000.0,1.0,25.6,0.734,13.3,11.1,86.0
United States,39,8,6,25.0,USD,120000.0,120000.0,1.0,41.5,0.927,16.4,13.6,21.0
Bangladesh,29,15,5,9.0,BDT,1118000.0,9501.0,109.5,32.4,0.67,11.9,7.4,130.0
Pakistan,21,5,5,3.0,PKR,840000.0,3015.0,287.5,29.6,0.54,7.9,4.4,165.0
Portugal,39,34,3,8.0,EUR,45000.0,48333.0,0.93,32.8,0.874,16.8,9.6,39.0
Australia,29,5,5,7.0,AUD,140000.0,92492.0,1.55,34.3,0.946,21.1,12.7,5.0
Germany,29,9,5,7.0,EUR,78750.0,84582.0,0.93,31.7,0.95,17.3,14.3,7.0
United States,39,28,5,25.0,USD,120000.0,120000.0,1.0,41.5,0.927,16.4,13.6,21.0
South Africa,29,21,5,13.0,ZAR,2525000.0,135866.0,19.2,63.0,0.717,14.3,11.6,105.0
Netherlands,39,16,5,18.0,EUR,76000.0,81629.0,0.93,29.2,0.946,18.6,12.6,11.0
United States,59,41,5,35.0,USD,184000.0,184000.0,1.0,41.5,0.927,16.4,13.6,21.0
Poland,21,12,3,3.0,PLN,72000.0,17817.0,4.3,30.2,0.881,15.9,13.2,35.0
United Kingdom,29,11,6,8.0,GBP,75000.0,95541.0,0.81,35.1,0.94,17.6,13.4,17.0
Germany,39,31,3,20.0,EUR,52500.0,56388.0,0.93,31.7,0.95,17.3,14.3,7.0
Germany,39,19,7,10.0,EUR,90000.0,96666.0,0.93,31.7,0.95,17.3,14.3,7.0
Russian Federation,29,17,6,9.0,RUB,260000.0,2913.0,96.5,36.0,0.821,15.7,12.4,55.0
United States,29,18,5,12.0,USD,122000.0,122000.0,1.0,41.5,0.927,16.4,13.6,21.0
Spain,49,24,6,21.0,EUR,51000.0,54777.0,0.93,34.3,0.911,17.8,10.6,28.0
Ukraine,29,14,6,13.0,UAH,1900000.0,46899.0,36.8,25.6,0.734,13.3,11.1,86.0
United Kingdom,29,10,5,6.0,GBP,82000.0,104458.0,0.81,35.1,0.94,17.6,13.4,17.0
Chile,29,10,5,5.0,CLP,32000000.0,34661.0,880.0,44.9,0.86,16.8,11.1,42.0
Germany,29,16,5,10.0,EUR,115000.0,123517.0,0.93,31.7,0.95,17.3,14.3,7.0
Spain,21,7,2,3.0,EUR,38000.0,40814.0,0.93,34.3,0.911,17.8,10.6,28.0
United States,29,6,4,3.0,USD,52500.0,52500.0,1.0,41.5,0.927,16.4,13.6,21.0
Switzerland,39,20,6,9.0,CHF,144000.0,160440.0,0.9,33.1,0.967,16.6,13.9,1.0
Italy,39,23,2,18.0,EUR,53000.0,56925.0,0.93,35.2,0.906,16.7,10.7,30.0
Israel,29,13,2,10.0,ILS,440000.0,118731.0,3.8,38.6,0.915,15.0,13.4,26.0
Slovenia,29,15,5,9.0,EUR,75000.0,80555.0,0.93,24.4,0.926,17.4,12.9,24.0
United States,29,11,5,8.0,USD,170000.0,170000.0,1.0,41.5,0.927,16.4,13.6,21.0
Sweden,21,9,2,4.0,SEK,500000.0,47692.0,11.0,29.3,0.952,19.0,12.7,5.0
United States,29,14,3,1.0,USD,75000.0,75000.0,1.0,41.5,0.927,16.4,13.6,21.0
Costa Rica,39,12,3,9.0,CRC,40000000.0,75304.0,535.0,49.3,0.806,16.1,8.8,60.0
Portugal,29,14,6,8.0,EUR,90000.0,96666.0,0.93,32.8,0.874,16.8,9.6,39.0
United States,39,29,5,22.0,USD,115000.0,115000.0,1.0,41.5,0.927,16.4,13.6,21.0
Canada,49,42,6,30.0,CAD,180000.0,130847.0,1.36,33.3,0.935,16.0,13.9,16.0
France,39,8,6,19.0,EUR,84400.0,90651.0,0.93,32.4,0.91,16.0,11.7,27.0
United States,29,14,5,7.0,USD,144000.0,144000.0,1.0,41.5,0.927,16.4,13.6,21.0
Canada,49,26,3,23.0,CAD,240000.0,174463.0,1.36,33.3,0.935,16.0,13.9,16.0
Spain,49,37,5,22.0,EUR,28000.0,30074.0,0.93,34.3,0.911,17.8,10.6,28.0
Canada,59,49,5,36.0,CAD,92000.0,66877.0,1.36,33.3,0.935,16.0,13.9,16.0
Russian Federation,29,5,6,3.0,RUB,1747126.0,19576.0,96.5,36.0,0.821,15.7,12.4,55.0
Brazil,39,16,6,15.0,BRL,240000.0,44757.0,5.01,48.9,0.76,15.6,8.3,84.0
Canada,49,25,5,24.0,CAD,196000.0,142478.0,1.36,33.3,0.935,16.0,13.9,16.0
Germany,21,11,5,7.0,EUR,45000.0,48333.0,0.93,31.7,0.95,17.3,14.3,7.0
Spain,49,36,3,33.0,EUR,45000.0,48333.0,0.93,34.3,0.911,17.8,10.6,28.0
United States,39,15,6,15.0,USD,160000.0,160000.0,1.0,41.5,0.927,16.4,13.6,21.0
Italy,29,8,3,6.0,EUR,45000.0,48333.0,0.93,35.2,0.906,16.7,10.7,30.0
Mexico,21,7,5,1.0,MXN,120000.0,6469.0,17.1,45.4,0.781,14.5,9.2,83.0
United States,29,10,6,4.0,USD,120000.0,120000.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,21,6,3,3.0,EUR,14000.0,15037.0,0.93,31.7,0.95,17.3,14.3,7.0
Spain,39,5,3,3.0,EUR,26000.0,27926.0,0.93,34.3,0.911,17.8,10.6,28.0
Brazil,21,7,5,4.0,BRL,150000.0,27973.0,5.01,48.9,0.76,15.6,8.3,84.0
Germany,39,11,6,10.0,EUR,60000.0,64444.0,0.93,31.7,0.95,17.3,14.3,7.0
United Kingdom,49,25,5,20.0,GBP,68500.0,87261.0,0.81,35.1,0.94,17.6,13.4,17.0
Switzerland,39,21,6,15.0,CHF,130000.0,144842.0,0.9,33.1,0.967,16.6,13.9,1.0
United States,29,11,5,7.0,USD,94000.0,94000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,59,37,6,45.0,USD,125000.0,125000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,22,3,21.0,USD,99000.0,99000.0,1.0,41.5,0.927,16.4,13.6,21.0
Belarus,39,20,6,15.0,BYN,93888.0,28647.0,3.0,24.4,0.801,14.0,12.2,65.0
France,29,16,6,10.0,EUR,39000.0,41888.0,0.93,32.4,0.91,16.0,11.7,27.0
Ukraine,29,11,6,7.0,USD,86400.0,86400.0,1.0,25.6,0.734,13.3,11.1,86.0
United States,21,7,5,1.0,USD,77000.0,77000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,49,29,5,25.0,USD,210000.0,210000.0,1.0,41.5,0.927,16.4,13.6,21.0
Israel,29,11,5,6.0,ILS,204000.0,55048.0,3.8,38.6,0.915,15.0,13.4,26.0
Brazil,29,13,5,8.0,BRL,240000.0,44757.0,5.01,48.9,0.76,15.6,8.3,84.0
United States,49,18,6,17.0,USD,140000.0,140000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,17,5,10.0,USD,213000.0,213000.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,29,16,2,10.0,EUR,58000.0,62296.0,0.93,31.7,0.95,17.3,14.3,7.0
Poland,39,20,6,10.0,PLN,160000.0,39594.0,4.3,30.2,0.881,15.9,13.2,35.0
United States,59,38,5,33.0,USD,134000.0,134000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,39,23,6,16.0,GBP,170000.0,216559.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,49,15,3,12.0,USD,165000.0,165000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,6,3,19.0,USD,101000.0,101000.0,1.0,41.5,0.927,16.4,13.6,21.0
Serbia,39,31,6,22.0,EUR,72000.0,77332.0,0.93,34.5,0.805,14.5,11.5,60.0
United Kingdom,29,2,6,1.0,GBP,30000.0,38216.0,0.81,35.1,0.94,17.6,13.4,17.0
Mozambique,29,11,5,7.0,MZN,2835000.0,44643.0,63.0,54.0,0.461,10.7,3.9,183.0
United States,49,26,6,21.0,USD,200000.0,200000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,9,5,4.0,USD,114000.0,114000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,15,6,11.0,USD,145000.0,145000.0,1.0,41.5,0.927,16.4,13.6,21.0
Canada,59,31,4,34.0,CAD,224000.0,162832.0,1.36,33.3,0.935,16.0,13.9,16.0
India,29,7,5,3.0,INR,2150000.0,25721.0,83.0,35.7,0.644,12.6,6.6,135.0
India,29,11,5,8.0,INR,5100000.0,61014.0,83.0,35.7,0.644,12.6,6.6,135.0
Canada,39,26,4,22.0,CAD,200000.0,145386.0,1.36,33.3,0.935,16.0,13.9,16.0
Germany,39,21,3,14.0,EUR,90000.0,96666.0,0.93,31.7,0.95,17.3,14.3,7.0
Netherlands,29,15,5,10.0,EUR,115000.0,123517.0,0.93,29.2,0.946,18.6,12.6,11.0
United States,29,9,5,5.0,USD,145000.0,145000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,12,5,5.0,USD,203000.0,203000.0,1.0,41.5,0.927,16.4,13.6,21.0
Poland,29,9,5,2.0,PLN,130000.0,32170.0,4.3,30.2,0.881,15.9,13.2,35.0
Belgium,39,20,6,17.0,EUR,80000.0,85925.0,0.93,27.2,0.942,18.9,12.5,13.0
Colombia,29,17,6,11.0,COP,156000000.0,39364.0,4030.0,54.2,0.758,14.4,8.9,89.0
Netherlands,29,25,5,20.0,EUR,40000.0,42962.0,0.93,29.2,0.946,18.6,12.6,11.0
United Kingdom,49,28,6,24.0,GBP,85000.0,108280.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,29,19,7,8.0,USD,55000.0,55000.0,1.0,41.5,0.927,16.4,13.6,21.0
Ukraine,29,11,6,9.0,USD,95000.0,95000.0,1.0,25.6,0.734,13.3,11.1,86.0
Switzerland,39,21,3,18.0,CHF,90000.0,100275.0,0.9,33.1,0.967,16.6,13.9,1.0
United States,39,13,5,12.0,USD,90000.0,90000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,8,6,4.0,USD,115000.0,115000.0,1.0,41.5,0.927,16.4,13.6,21.0
Poland,39,19,6,16.0,PLN,500000.0,123732.0,4.3,30.2,0.881,15.9,13.2,35.0
Poland,29,22,6,5.0,PLN,192.0,48.0,4.3,30.2,0.881,15.9,13.2,35.0
Russian Federation,29,6,5,1.0,RUB,1200000.0,13445.0,96.5,36.0,0.821,15.7,12.4,55.0
United States,29,9,6,10.0,USD,180000.0,180000.0,1.0,41.5,0.927,16.4,13.6,21.0
United Kingdom,49,12,5,6.0,GBP,43000.0,54777.0,0.81,35.1,0.94,17.6,13.4,17.0
Norway,49,43,5,35.0,NOK,700000.0,65514.0,10.7,27.7,0.966,18.6,13.1,2.0
Ukraine,49,30,6,26.0,USD,60000.0,60000.0,1.0,25.6,0.734,13.3,11.1,86.0
Ukraine,29,11,6,6.0,USD,50000.0,50000.0,1.0,25.6,0.734,13.3,11.1,86.0
Mexico,29,11,5,8.0,MXN,1080000.0,58222.0,17.1,45.4,0.781,14.5,9.2,83.0
Germany,29,18,6,13.0,EUR,65000.0,69814.0,0.93,31.7,0.95,17.3,14.3,7.0
Sri Lanka,29,9,6,5.0,LKR,3800000.0,12510.0,320.0,39.3,0.78,13.6,11.2,76.0
France,49,36,6,25.0,EUR,85000.0,91295.0,0.93,32.4,0.91,16.0,11.7,27.0
United States,59,31,4,30.0,USD,185000.0,185000.0,1.0,41.5,0.927,16.4,13.6,21.0
Bulgaria,29,4,3,1.0,BGN,45000.0,24715.0,1.82,40.3,0.799,13.9,11.4,70.0
Canada,49,39,6,30.0,CAD,200000.0,145386.0,1.36,33.3,0.935,16.0,13.9,16.0
Australia,39,26,2,25.0,AUD,160000.0,105706.0,1.55,34.3,0.946,21.1,12.7,5.0
Austria,39,20,6,16.0,EUR,90000.0,96666.0,0.93,30.2,0.926,16.4,12.3,22.0
United Kingdom,21,7,6,1.0,GBP,23000.0,29299.0,0.81,35.1,0.94,17.6,13.4,17.0
